"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order","recency","total_orders","total_sales","avg_order_value","total_quantity","total_products","lifespan","monthly_spend"
1,AW00011000,Jon Yang,54,"50 and above",VIP,2013-05-03,160,8,8249,1031,8,8,28,294.6071428571428571
2,AW00011001,Eugene Huang,50,"50 and above",VIP,2013-12-10,153,11,6384,580,11,11,35,182.4000000000000000
3,AW00011002,Ruben Torres,55,"50 and above",VIP,2013-02-23,163,4,8114,2028,4,4,25,324.5600000000000000
4,AW00011003,Christy Zhu,53,"50 and above",VIP,2013-05-10,160,9,8139,904,9,9,29,280.6551724137931034
5,AW00011004,Elizabeth Johnson,47,"40 - 49",VIP,2013-05-01,160,6,8196,1366,6,6,28,292.7142857142857143
6,AW00011005,Julio Ruiz,50,"50 and above",VIP,2013-05-02,160,6,8121,1353,6,6,29,280.0344827586206897
7,AW00011006,Janet Alvarez,49,"40 - 49",VIP,2013-05-14,160,5,8119,1623,5,5,28,289.9642857142857143
8,AW00011007,Marco Mehta,56,"50 and above",VIP,2013-03-19,162,8,8211,1026,8,8,26,315.8076923076923077
9,AW00011008,Rob Verhoff,51,"50 and above",VIP,2013-03-02,162,7,8106,1158,7,7,26,311.7692307692307692
10,AW00011009,Shannon Carlson,56,"50 and above",VIP,2013-05-09,160,5,8091,1618,5,5,28,288.9642857142857143
11,AW00011010,Jacquelyn Suarez,57,"50 and above",VIP,2013-05-23,160,4,8088,2022,4,4,28,288.8571428571428571
12,AW00011011,Curtis Lu,57,"50 and above",VIP,2013-03-19,162,4,8133,2033,4,4,27,301.2222222222222222
13,AW00011012,Lauren Walker,47,"40 - 49",new,2013-10-15,155,5,81,16,5,5,7,11.5714285714285714
14,AW00011013,Ian Jenkins,47,"40 - 49",new,2014-01-21,152,5,114,22,5,5,9,12.6666666666666667
15,AW00011014,Sydney Bennett,52,"50 and above",new,2013-04-30,161,6,138,23,6,6,1,138.0000000000000000
16,AW00011015,Chloe Young,42,"40 - 49",new,2013-01-18,164,3,2501,833,3,3,0,0
17,AW00011016,Wyatt Hill,41,"40 - 49",new,2013-02-09,163,3,2332,777,3,3,0,0
18,AW00011017,Shannon Wang,76,"50 and above",VIP,2013-10-14,155,4,6434,1608,4,4,33,194.9696969696969697
19,AW00011018,Clarence Rai,70,"50 and above",VIP,2013-10-24,155,7,6533,933,7,7,33,197.9696969696969697
20,AW00011019,Luke Lal,43,"40 - 49",new,2014-01-12,152,33,880,26,33,33,11,80.0000000000000000
21,AW00011020,Jordan King,42,"40 - 49",new,2012-12-29,165,2,2317,1158,2,2,0,0
22,AW00011021,Destiny Wilson,42,"40 - 49",new,2013-01-23,164,3,2372,790,3,3,0,0
23,AW00011022,Ethan Zhang,42,"40 - 49",new,2013-01-20,164,2,2322,1161,2,2,0,0
24,AW00011023,Seth Edwards,42,"40 - 49",new,2014-01-14,152,6,122,20,6,6,11,11.0909090909090909
25,AW00011024,Russell Xie,42,"40 - 49",new,2013-07-26,158,6,56,9,6,6,1,56.0000000000000000
26,AW00011025,Alejandro Beck,75,"50 and above",VIP,2013-10-25,155,6,6577,1096,6,6,33,199.3030303030303030
27,AW00011026,Harold Sai,74,"50 and above",VIP,2013-10-15,155,7,6575,939,7,7,33,199.2424242424242424
28,AW00011027,Jessie Zhao,74,"50 and above",VIP,2013-10-24,155,9,6591,732,9,9,33,199.7272727272727273
29,AW00011028,Jill Jimenez,74,"50 and above",VIP,2013-10-07,155,5,6474,1294,5,5,33,196.1818181818181818
30,AW00011029,Jimmy Moreno,74,"50 and above",VIP,2013-11-11,154,7,6565,937,7,7,34,193.0882352941176471
31,AW00011030,Bethany Yuan,68,"50 and above",VIP,2013-11-09,154,4,6471,1617,4,4,33,196.0909090909090909
32,AW00011031,Theresa Ramos,73,"50 and above",VIP,2013-11-13,154,6,6478,1079,6,6,33,196.3030303030303030
33,AW00011032,Denise Stone,73,"50 and above",VIP,2013-11-08,154,10,6525,652,10,10,33,197.7272727272727273
34,AW00011033,Jaime Nath,68,"50 and above",VIP,2013-11-05,154,7,6495,927,7,7,33,196.8181818181818182
35,AW00011034,Ebony Gonzalez,73,"50 and above",VIP,2013-11-10,154,4,6491,1622,4,4,33,196.6969696969696970
36,AW00011035,Wendy Dominguez,73,"50 and above",VIP,2013-11-15,154,5,6451,1290,5,5,33,195.4848484848484848
37,AW00011036,Jennifer Russell,42,"40 - 49",new,2013-01-22,164,2,2355,1177,2,2,0,0
38,AW00011037,Chloe Garcia,43,"40 - 49",new,2013-01-20,164,7,2374,339,7,7,0,0
39,AW00011038,Diana Hernandez,73,"50 and above",VIP,2013-11-12,154,3,6437,2145,3,3,33,195.0606060606060606
40,AW00011039,Marc Martin,72,"50 and above",VIP,2013-11-11,154,9,6636,737,9,9,33,201.0909090909090909
41,AW00011040,Jesse Murphy,43,"40 - 49",new,2013-04-03,161,3,2351,783,3,3,0,0
42,AW00011041,Amanda Carter,43,"40 - 49",new,2013-01-14,164,3,2381,793,3,3,0,0
43,AW00011042,Megan Sanchez,43,"40 - 49",new,2013-10-17,155,3,3112,1037,3,3,9,345.7777777777777778
44,AW00011043,Nathan Simmons,45,"40 - 49",new,2013-08-18,157,3,48,16,3,3,3,16.0000000000000000
45,AW00011044,Adam Flores,71,"50 and above",VIP,2013-11-08,154,7,6515,930,7,7,33,197.4242424242424242
46,AW00011045,Leonard Nara,70,"50 and above",new,2013-10-29,155,4,115,28,4,4,6,19.1666666666666667
47,AW00011046,Christine Yuan,71,"50 and above",VIP,2013-11-12,154,6,6616,1102,6,6,33,200.4848484848484848
48,AW00011047,Jaclyn Lu,71,"50 and above",VIP,2013-11-19,154,4,6582,1645,4,4,33,199.4545454545454545
49,AW00011048,Jeremy Powell,70,"50 and above",VIP,2013-12-25,153,8,6498,812,8,8,34,191.1176470588235294
50,AW00011049,Carol Rai,40,"40 - 49",new,2013-10-29,155,5,81,16,5,5,7,11.5714285714285714
51,AW00011050,Alan Zheng,69,"50 and above",VIP,2013-11-19,154,6,5007,834,6,6,33,151.7272727272727273
52,AW00011051,Daniel Johnson,69,"50 and above",new,2014-01-01,152,5,124,24,5,5,1,124.0000000000000000
53,AW00011052,Heidi Lopez,69,"50 and above",VIP,2013-05-27,160,7,8131,1161,7,7,27,301.1481481481481481
54,AW00011053,Ana Price,40,"40 - 49",new,2013-01-17,164,2,2330,1165,2,2,0,0
55,AW00011054,Deanna Munoz,69,"50 and above",VIP,2013-05-30,160,6,8223,1370,6,6,27,304.5555555555555556
56,AW00011055,Gilbert Raje,69,"50 and above",VIP,2013-06-07,159,8,8168,1021,8,8,29,281.6551724137931034
57,AW00011056,Michele Nath,67,"50 and above",VIP,2013-05-31,160,8,8207,1025,8,8,27,303.9629629629629630
58,AW00011057,Carl Andersen,56,"50 and above",VIP,2013-05-21,160,4,8088,2022,4,4,27,299.5555555555555556
59,AW00011058,Marc Diaz,61,"50 and above",VIP,2013-06-04,159,6,8248,1374,6,6,27,305.4814814814814815
60,AW00011059,Ashlee Andersen,66,"50 and above",new,2013-03-16,162,7,117,16,7,7,1,117.0000000000000000
61,AW00011060,Jon Zhou,67,"50 and above",VIP,2013-06-25,159,6,8153,1358,6,6,27,301.9629629629629630
62,AW00011061,Todd Gao,50,"50 and above",VIP,2013-06-14,159,6,8129,1354,6,6,27,301.0740740740740741
63,AW00011062,Noah Powell,45,"40 - 49",new,2013-01-07,164,3,2352,784,3,3,0,0
64,AW00011063,Angela Murphy,45,"40 - 49",new,2013-01-12,164,5,2373,474,5,5,0,0
65,AW00011064,Chase Reed,45,"40 - 49",new,2013-01-25,164,2,2305,1152,2,2,0,0
66,AW00011065,Jessica Henderson,47,"40 - 49",new,2014-01-10,152,5,202,40,5,5,11,18.3636363636363636
67,AW00011066,Grace Butler,47,"40 - 49",new,2013-09-19,156,5,81,16,5,5,4,20.2500000000000000
68,AW00011067,Caleb Carter,44,"40 - 49",new,2014-01-12,152,6,105,17,6,6,5,21.0000000000000000
